name,subtitle,address,work_time,count_reviews,avg_review_score
Juri Betcher,Kleintierpraxis,"Steinkühlerweg 84, 44263 Dortmund","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '18:00'}]",16,5
 Efrat Bahat-Treidel,Tierarztpraxis Treidel ,"Hugo Cassirer Str.38 / Sigmund - Bergmann Str. 10, 13587 Berlin","[{'day': 'Mon', 'from': '09:30', 'to': '13:00'}, {'day': 'Tue', 'from': '15:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:30', 'to': '13:00'}, {'day': 'Thu', 'from': '15:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:30', 'to': '13:00'}]",15,5
Laura Broschek und Sven Stahlhut,Tierarztpraxis Am Westend,"Sophie-Charlotten-Str. 22, 14059 Berlin","[{'day': 'Mon', 'from': '10:00', 'to': '13:00'}, {'day': 'Mon', 'from': '17:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '13:00'}, {'day': 'Tue', 'from': '17:00', 'to': '19:00'}, {'day': 'Wed', 'from': '10:00', 'to': '13:00'}, {'day': 'Thu', 'from': '10:00', 'to': '13:00'}, {'day': 'Thu', 'from': '17:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '13:00'}, {'day': 'Fri', 'from': '17:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '13:00'}]",14,5
Dr. Michael Foerster,,"Birkenstr. 58, 10559 Berlin","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '17:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '17:00', 'to': '19:00'}, {'day': 'Wed', 'from': '17:00', 'to': '19:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '17:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '17:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",14,5
Jürgen Pötter und Eva Kirsch,,"Kopernikusstr. 4a, 30167 Hannover","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",12,5
Dr. med. vet. Maria Steigmann,VetZentrum Praxis für Kleintiere,"Wentorfer Str. 101, 21029 Hamburg","[{'day': 'Mon', 'from': '09:00', 'to': '13:00'}, {'day': 'Mon', 'from': '15:00', 'to': '20:00'}, {'day': 'Tue', 'from': '09:00', 'to': '13:00'}, {'day': 'Tue', 'from': '15:00', 'to': '20:00'}, {'day': 'Wed', 'from': '09:00', 'to': '13:00'}, {'day': 'Wed', 'from': '15:00', 'to': '20:00'}, {'day': 'Thu', 'from': '09:00', 'to': '13:00'}, {'day': 'Thu', 'from': '15:00', 'to': '20:00'}, {'day': 'Fri', 'from': '09:00', 'to': '13:00'}, {'day': 'Fri', 'from': '15:00', 'to': '20:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",12,5
Ragna Windisch,,"Berner Heerweg 110, 22159 Hamburg","[{'day': 'Mon', 'from': '09:00', 'to': '15:00'}, {'day': 'Mon', 'from': '09:00', 'to': '13:00'}, {'day': 'Tue', 'from': '09:00', 'to': '15:00'}, {'day': 'Wed', 'from': '09:00', 'to': '15:00'}, {'day': 'Thu', 'from': '09:00', 'to': '15:00'}, {'day': 'Fri', 'from': '09:00', 'to': '15:00'}]",12,5
Dr. Stephan Hesselmann,,"Kurfürstenstr. 134, 46147 Oberhausen","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '15:00', 'to': '19:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}]",11,5
Hans-Jürgen Raqué,Tierarztpraxis,"Walter-Markov-Ring 5, 04288 Leipzig","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '15:00', 'to': '18:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '15:00', 'to': '18:00'}, {'day': 'Wed', 'from': '15:00', 'to': '20:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '15:00', 'to': '18:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}, {'day': 'Fri', 'from': '15:00', 'to': '18:00'}, {'day': 'Sat', 'from': '09:00', 'to': '12:00'}]",11,5
Dr. Heike Janosch,,"Gottfried-Keller-Straße 4, 01157 Dresden","[{'day': 'Mon', 'from': '10:00', 'to': '11:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:00'}, {'day': 'Tue', 'from': '10:00', 'to': '11:00'}, {'day': 'Tue', 'from': '16:00', 'to': '18:00'}, {'day': 'Wed', 'from': '10:00', 'to': '11:00'}, {'day': 'Thu', 'from': '10:00', 'to': '11:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:00'}, {'day': 'Fri', 'from': '10:00', 'to': '11:00'}, {'day': 'Fri', 'from': '15:00', 'to': '16:00'}]",11,5
Rafael Melner-Biniszkiewicz,,"Weberstraße 21, 45879 Gelsenkirchen","[{'day': 'Mon', 'from': '11:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '11:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '19:00'}, {'day': 'Thu', 'from': '11:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '11:00'}]",11,5
Dr. Tido Winkler und Barbara Richter,,"Fritz-Meyer-Scharffenberg-Weg 12a, 18109 Rostock","[{'day': 'Mon', 'from': '09:00', 'to': '11:00'}, {'day': 'Mon', 'from': '15:00', 'to': '18:00'}, {'day': 'Tue', 'from': '09:00', 'to': '11:00'}, {'day': 'Tue', 'from': '17:00', 'to': '18:00'}, {'day': 'Wed', 'from': '09:00', 'to': '11:00'}, {'day': 'Wed', 'from': '15:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '11:00'}, {'day': 'Thu', 'from': '17:00', 'to': '18:00'}, {'day': 'Fri', 'from': '09:00', 'to': '11:00'}, {'day': 'Fri', 'from': '15:00', 'to': '18:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",11,5
Tim Glabasnia und Dr. Karin Glabasnia,,"Seehofstr. 45, 96052 Bamberg","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '18:30'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:30'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '18:30'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}]",10,5
Dr. Stefan Hauck,,"Bedburger Weide 13, 47551 Bedburg-Hau","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '19:00'}, {'day': 'Sat', 'from': '10:00', 'to': '12:00'}]",10,5
Dr. Siegfried Graf,,"Kardinal-Wendel-Str. 13, 81929 München","[{'day': 'Mon', 'from': '09:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '09:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '09:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '18:00'}, {'day': 'Thu', 'from': '09:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '09:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '19:00'}]",10,5
"Dr. Claudia Kreutzjans, Dr. Natalie Thurek, Dr. Nadja Wilhelmi",Tierärztliche Praxis für Kleintiere,"Erinstr. 27, 44575 Castrop-Rauxel",[],10,5
Dr. Annemarie Leps,,"Mengeder Str. 17, 46731 Waltrop","[{'day': 'Mon', 'from': '08:30', 'to': '12:30'}, {'day': 'Mon', 'from': '13:30', 'to': '18:30'}, {'day': 'Tue', 'from': '08:30', 'to': '12:30'}, {'day': 'Tue', 'from': '13:30', 'to': '18:30'}, {'day': 'Wed', 'from': '08:30', 'to': '12:30'}, {'day': 'Wed', 'from': '13:30', 'to': '18:30'}, {'day': 'Thu', 'from': '08:30', 'to': '12:30'}, {'day': 'Thu', 'from': '13:30', 'to': '18:30'}, {'day': 'Fri', 'from': '08:30', 'to': '12:30'}]",10,5
Maceij E. Wilk,,"Hägerweg 12, 33613 Bielefeld","[{'day': 'Mon', 'from': '09:00', 'to': '13:00'}, {'day': 'Mon', 'from': '16:00', 'to': '20:00'}, {'day': 'Tue', 'from': '09:00', 'to': '13:00'}, {'day': 'Tue', 'from': '16:00', 'to': '20:00'}, {'day': 'Wed', 'from': '09:00', 'to': '13:00'}, {'day': 'Wed', 'from': '16:00', 'to': '20:00'}, {'day': 'Thu', 'from': '09:00', 'to': '13:00'}, {'day': 'Thu', 'from': '16:00', 'to': '20:00'}, {'day': 'Fri', 'from': '09:00', 'to': '13:00'}, {'day': 'Fri', 'from': '16:00', 'to': '20:00'}, {'day': 'Sat', 'from': '09:00', 'to': '13:00'}]",10,5
TÄ Juliane Kaftan und Anne Klötzer,,"Loschwitzer Str. 3, 01309 Dresden","[{'day': 'Mon', 'from': '10:00', 'to': '12:00'}, {'day': 'Mon', 'from': '16:00', 'to': '19:00'}, {'day': 'Tue', 'from': '10:00', 'to': '12:00'}, {'day': 'Tue', 'from': '16:00', 'to': '19:00'}, {'day': 'Wed', 'from': '10:00', 'to': '12:00'}, {'day': 'Wed', 'from': '16:00', 'to': '20:00'}, {'day': 'Thu', 'from': '10:00', 'to': '12:00'}, {'day': 'Thu', 'from': '16:00', 'to': '19:00'}, {'day': 'Fri', 'from': '10:00', 'to': '12:00'}, {'day': 'Fri', 'from': '16:00', 'to': '20:00'}, {'day': 'Sat', 'from': '10:00', 'to': '13:00'}]",10,5
